id,codeAndCountry,serieCode,country,serieName,year,indicator
9327,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1984,NA
10049,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1985,NA
10771,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1986,NA
11493,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1987,NA
12215,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1988,NA
12937,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1989,NA
13659,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1990,NA
14381,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1991,NA
15103,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1992,NA
15825,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1993,NA
16547,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1994,NA
17269,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1995,0.0427
17991,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1996,NA
18713,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1997,NA
19435,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1998,NA
20157,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1999,NA
20879,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2000,NA
21601,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2001,0.0111
22323,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2002,NA
23045,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2003,NA
23767,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2004,NA
24489,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2005,NA
25211,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2006,NA
25933,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,2007,NA
653,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1972,NA
1375,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1973,NA
2097,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1974,NA
2819,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1975,NA
3541,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1976,NA
4263,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1977,NA
4985,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1978,NA
5707,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1979,NA
6429,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1980,NA
7151,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1981,NA
7873,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1982,NA
8595,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1983,NA
9317,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1984,0.1791
10039,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1985,NA
10761,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1986,0.1492
11483,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1987,NA
12205,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1988,NA
12927,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1989,0.2156
13649,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1990,NA
14371,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1991,NA
15093,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1992,0.2382
15815,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1993,NA
16537,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1994,NA
17259,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1995,NA
17981,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1996,0.1927
18703,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1997,NA
19425,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1998,NA
20147,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,1999,NA
20869,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2000,0.1861
21591,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2001,NA
22313,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2002,NA
23035,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2003,NA
23757,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2004,NA
24479,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2005,0.1417
25201,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2006,NA
25923,1.2 - Bangladesh - 21067,1.2,Bangladesh,1.2 - Eradicate extreme poverty and hunger,2007,NA
650,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1972,NA
1372,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1973,NA
2094,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1974,NA
2816,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1975,NA
3538,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1976,NA
4260,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1977,NA
4982,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1978,NA
5704,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1979,NA
6426,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1980,NA
7148,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1981,NA
7870,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1982,NA
8592,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1983,NA
9314,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1984,NA
10036,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1985,NA
10758,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1986,NA
11480,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1987,NA
12202,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1988,NA
12924,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1989,NA
13646,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1990,NA
14368,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1991,0.0067
15090,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1992,NA
15812,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1993,0.0346
16534,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1994,NA
17256,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1995,NA
17978,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1996,NA
18700,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1997,0.0907
19422,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1998,NA
20144,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,1999,0.1412
20866,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2000,0.1776
21588,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2001,0.1213
22310,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2002,0.1288
23032,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2003,NA
23754,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2004,NA
24476,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2005,0.097
25198,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2006,0.0842
25920,1.2 - Bolivia - 31763,1.2,Bolivia,1.2 - Eradicate extreme poverty and hunger,2007,0.0661
639,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1972,NA
1361,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1973,NA
2083,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1974,NA
2805,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1975,NA
3527,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1976,NA
4249,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1977,NA
4971,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1978,NA
5693,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1979,NA
6415,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1980,NA
7137,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1981,NA
7859,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1982,NA
8581,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1983,NA
9303,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1984,NA
10025,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1985,NA
10747,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1986,NA
11469,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1987,NA
12191,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1988,NA
12913,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1989,NA
13635,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1990,NA
14357,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1991,NA
15079,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1992,NA
15801,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1993,NA
16523,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1994,NA
17245,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1995,NA
17967,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1996,NA
18689,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1997,NA
19411,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1998,NA
20133,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,1999,NA
20855,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2000,NA
21577,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2001,0.0011
22299,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2002,NA
23021,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2003,NA
23743,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2004,6.00E-04
24465,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2005,NA
25187,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2006,NA
25909,1.2 - Bosnia and Herzegovina - 33100,1.2,Bosnia and Herzegovina,1.2 - Eradicate extreme poverty and hunger,2007,2.00E-04
694,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1972,NA
1416,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1973,NA
2138,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1974,NA
2860,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1975,NA
3582,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1976,NA
4304,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1977,NA
5026,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1978,NA
5748,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1979,NA
6470,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1980,NA
7192,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1981,NA
7914,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1982,NA
8636,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1983,NA
9358,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1984,NA
10080,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1985,NA
10802,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1986,0.1381
11524,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1987,NA
12246,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1988,NA
12968,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1989,NA
13690,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1990,NA
14412,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1991,NA
15134,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1992,NA
15856,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1993,NA
16578,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1994,0.1104
17300,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1995,NA
18022,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1996,NA
18744,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1997,NA
19466,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1998,NA
20188,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,1999,NA
20910,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2000,NA
21632,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2001,NA
22354,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2002,NA
23076,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2003,NA
23798,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2004,NA
24520,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2005,NA
25242,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2006,NA
25964,1.2 - Botswana - 34437,1.2,Botswana,1.2 - Eradicate extreme poverty and hunger,2007,NA
642,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1972,NA
1364,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1973,NA
2086,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1974,NA
2808,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1975,NA
3530,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1976,NA
4252,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1977,NA
4974,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1978,NA
5696,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1979,NA
6418,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1980,NA
7140,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1981,0.0545
7862,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1982,0.0536
8584,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1983,0.0646
9306,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1984,0.06
10028,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1985,0.0517
10750,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1986,0.0382
11472,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1987,0.055
12194,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1988,0.0625
12916,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1989,0.0575
13638,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1990,0.072
14360,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1991,NA
15082,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1992,0.0851
15804,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1993,0.0805
16526,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1994,NA
17248,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1995,0.0544
17970,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1996,0.062
18692,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1997,0.0622
19414,1.2 - Brazil - 35774,1.2,Brazil,1.2 - Eradicate extreme poverty and hunger,1998,0.0556
