"","X1","codeAndCountry","serieCode","country","serieName","year","indicator"
"23056",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2003",NA
"23778",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2004",NA
"24500",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2005",NA
"25222",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2006",NA
"25944",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2007",NA
"663",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1385",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2107",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2829",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3551",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4273",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1977",NA
"4995",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1978",NA
"5717",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1979",NA
"6439",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1980",NA
"7161",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1981",NA
"7883",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1982",NA
"8605",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1983",NA
"9327",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1984",NA
"10049",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1985",NA
"10771",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1986",NA
"11493",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1987",NA
"12215",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1988",NA
"12937",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1989",NA
"13659",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1990",NA
"14381",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1991",NA
"15103",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1992",NA
"15825",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1993",NA
"16547",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1994",NA
"17269",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1995",0.0427
"17991",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1996",NA
"18713",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1997",NA
"19435",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1998",NA
"20157",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","1999",NA
"20879",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2000",NA
"21601",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2001",0.0111
"22323",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2002",NA
"23045",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2003",NA
"23767",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2004",NA
"24489",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2005",NA
"25211",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2006",NA
"25933",17056,"1.2 - Azerbaijan - 17056","1.2","Azerbaijan","1.2 - Eradicate extreme poverty and hunger","2007",NA
"653",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1375",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2097",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2819",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3541",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4263",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1977",NA
"4985",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1978",NA
"5707",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1979",NA
"6429",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1980",NA
"7151",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1981",NA
"7873",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1982",NA
"8595",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1983",NA
"9317",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1984",0.1791
"10039",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1985",NA
"10761",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1986",0.1492
"11483",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1987",NA
"12205",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1988",NA
"12927",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1989",0.2156
"13649",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1990",NA
"14371",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1991",NA
"15093",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1992",0.2382
"15815",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1993",NA
"16537",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1994",NA
"17259",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1995",NA
"17981",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1996",0.1927
"18703",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1997",NA
"19425",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1998",NA
"20147",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","1999",NA
"20869",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2000",0.1861
"21591",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2001",NA
"22313",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2002",NA
"23035",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2003",NA
"23757",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2004",NA
"24479",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2005",0.1417
"25201",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2006",NA
"25923",21067,"1.2 - Bangladesh - 21067","1.2","Bangladesh","1.2 - Eradicate extreme poverty and hunger","2007",NA
"650",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1372",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2094",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2816",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3538",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4260",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1977",NA
"4982",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1978",NA
"5704",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1979",NA
"6426",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1980",NA
"7148",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1981",NA
"7870",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1982",NA
"8592",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1983",NA
"9314",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1984",NA
"10036",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1985",NA
"10758",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1986",NA
"11480",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1987",NA
"12202",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1988",NA
"12924",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1989",NA
"13646",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1990",NA
"14368",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1991",0.0067
"15090",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1992",NA
"15812",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1993",0.0346
"16534",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1994",NA
"17256",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1995",NA
"17978",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1996",NA
"18700",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1997",0.0907
"19422",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1998",NA
"20144",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","1999",0.1412
"20866",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2000",0.1776
"21588",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2001",0.1213
"22310",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2002",0.1288
"23032",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2003",NA
"23754",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2004",NA
"24476",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2005",0.097
"25198",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2006",0.0842
"25920",31763,"1.2 - Bolivia - 31763","1.2","Bolivia","1.2 - Eradicate extreme poverty and hunger","2007",0.0661
"639",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1361",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2083",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2805",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3527",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4249",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1977",NA
"4971",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1978",NA
"5693",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1979",NA
"6415",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1980",NA
"7137",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1981",NA
"7859",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1982",NA
"8581",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1983",NA
"9303",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1984",NA
"10025",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1985",NA
"10747",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1986",NA
"11469",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1987",NA
"12191",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1988",NA
"12913",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1989",NA
"13635",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1990",NA
"14357",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1991",NA
"15079",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1992",NA
"15801",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1993",NA
"16523",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1994",NA
"17245",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1995",NA
"17967",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1996",NA
"18689",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1997",NA
"19411",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1998",NA
"20133",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","1999",NA
"20855",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2000",NA
"21577",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2001",0.0011
"22299",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2002",NA
"23021",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2003",NA
"23743",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2004",6e-04
"24465",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2005",NA
"25187",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2006",NA
"25909",33100,"1.2 - Bosnia and Herzegovina - 33100","1.2","Bosnia and Herzegovina","1.2 - Eradicate extreme poverty and hunger","2007",2e-04
"694",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1416",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2138",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2860",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3582",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4304",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1977",NA
"5026",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1978",NA
"5748",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1979",NA
"6470",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1980",NA
"7192",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1981",NA
"7914",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1982",NA
"8636",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1983",NA
"9358",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1984",NA
"10080",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1985",NA
"10802",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1986",0.1381
"11524",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1987",NA
"12246",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1988",NA
"12968",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1989",NA
"13690",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1990",NA
"14412",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1991",NA
"15134",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1992",NA
"15856",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1993",NA
"16578",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1994",0.1104
"17300",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1995",NA
"18022",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1996",NA
"18744",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1997",NA
"19466",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1998",NA
"20188",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","1999",NA
"20910",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2000",NA
"21632",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2001",NA
"22354",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2002",NA
"23076",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2003",NA
"23798",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2004",NA
"24520",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2005",NA
"25242",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2006",NA
"25964",34437,"1.2 - Botswana - 34437","1.2","Botswana","1.2 - Eradicate extreme poverty and hunger","2007",NA
"642",35774,"1.2 - Brazil - 35774","1.2","Brazil","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1364",35774,"1.2 - Brazil - 35774","1.2","Brazil","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2086",35774,"1.2 - Brazil - 35774","1.2","Brazil","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2808",35774,"1.2 - Brazil - 35774","1.2","Brazil","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3530",35774,"1.2 - Brazil - 35774","1.2","Brazil","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4252",35774,"1.2 - Brazil - 35774","1.2","Brazil","1.2 - Eradicate extreme poverty and hunger","1977",NA
